text,label
"(4) Metrics and Goals As a signatory to the Principles for Responsible Banking (PRB), we aim to bolster our initiatives in the areas of impact finance and renewable energy finance projects.",0
"We have reduced our energy consumption per tonne of clinker to 3,518 megajoules in 2018 (1990: 4,532 megajoules), among the lowest rates in the sector. Since 1990, we have increased our cement production by around 79 percent, while our annual energy consumption has increased by just 18 percent.",1
"Business risks and opportunities related to climate change are identified through an analysis of the sector and emerging trends, the study of market drivers and the identification of customer requirements. In terms of opportunities, Leonardo is mainly involved in the development of technologies for products and services with a low environmental impact (lighter aircraft and helicopters, which consume less fuel thanks to carbon aerostructures, hybrid and electric maritime propulsion systems, air traffic and vessel traffic management systems to optimise air and maritime traffic, virtual training services for pilots), the development of Earth observation solutions and data collection, to be provided to specialist operators, to monitor and limit impacts induced by climate change and the development of products and services, with special configurations that can intervene in the case of natural disasters. For further details, refer to the chapter 'Continuous innovation' and section 'Solutions for society and the environment' (chapters 'Sustainable mobility' and 'Earth observation').",0
"Specifically for risk appetite framework, some AIs have attempted to incorporate climate-related risks in their risk appetite statement to demonstrate their commitment. Following the incorporation, some of them are developing quantitative metrics (e.g. exposures which are most vulnerable to impacts of climate-related risks) to facilitate tracking and reporting.",2
"We currently source 18 percent of our energy from alternative fuels, low- carbon fuels and biomass. In some of our operations, we have been able to meet 90 percent of our energy requirements with alternative fuels, but we also acknowledge our potential to increase this rate significantly in the coming years. (See further information on our Geocycle operations on page 31).",1
"We contract the delivery of our raw materials and products to transportation companies and are striving to reduce Carbon dioxide emissions as a specified consigner designated under the Japanese Energy Saving Act. Major efforts include implementing a plan to transport goods on return trips, encouraging drivers to eco-drive, and promoting energy efficient devices such as digital tachometers and eco-tires on vehicles. In shipping we continue to pursue energy efficiency technologies and operate new ships that are equipped with many energy-saving features. We are also supporting energy-saving operations for conventionally powered ships.",1
"Over the past few years, we have taken steps to facilitate a shift towards improved access to public transport for employees (buses, commuter trains) and carpooling. Our carpooling initiative now has over 1 Lakh registered users across locations. Around 22.7 Million kms of rides were shared in the reporting year saving 4900 tons of CO",1
"We met our goal and achieved carbon neutral certification for our operations under the Commonwealth Government's Climate Active program. To help contribute to our carbon neutrality goal, we continued to actively work to improve the energy efficiency of our network sites and exchanges, and data centres. This year, despite increasing demand for data, our network facility energy reduction program and decommissioning activities contributed a 3.4 per cent reduction towards achieving both our carbon neutrality and emissions reduction goals.",1
"Paper and waste: the BBVAsinplastico project (https://www.bbva.com/es/el-plastico- una-especie-en-extincion-en-bbva/) was launched with the aim of eliminating most single-use plastics in corporate headquarters, replaced by biodegradable materials. Plastic bottles from catering services were also replaced with purified water sources and digital soft drink stations in several buildings in Spain. These measures help reduce the use of more than 500,000 plastic bottles per year11.",1
"In addition to the physical and transition risks, the solutions produced and distributed by Saint-Gobain also contribute to reducing Carbon dioxide emissions, in particular thermal insulation solutions that promote energy efficiency (see Chapter 3, Section 4.1.1).",0
"The British Columbia Carbon Tax Act sets a carbon price of $40 per tonne of CO2e on fuel combustion and is expected to increase by $5 per tonne of CO2e per year, reaching the federal target carbon price of $50 on April 1, 2021. The federal government has stated this program meets the requirements of the federal Greenhouse Gas Pollution Pricing Act. The CleanBC Program for Industry directs an amount equal to the incremental carbon tax paid by industry above $30/tonne into incentives to reduce emissions. The Government of British Columbia has also introduced measures to reduce upstream methane emissions by 45 percent and establish separate sector-level benchmarks to reduce carbon tax costs for industrial facilities.",1
"In 2017, JetBlue signed an offtake agreement to purchase renewable jet fuel, helping to accelerate the supply and the product's entry to market. However, the development of this fuel has been delayed. This delay is similar to the ones seen with many other renewable jet fuel suppliers in the United States in recent years. We will continue to work with our partners to stimulate demand within the aviation industry and bring alternative fuel sources to market in the near future.",1
"Gas, supported by high efficiencies and low emission coefficients of power plants, is the only fossil fuel that is growing in absolute terms in all scenarios envisaged by the IEA11 , stabilizing after 2030 only in the SDS scenario.",1
"Additionally, Capital Dynamics has formally launched an initiative to utilize renewable clean energy across all offices by purchasing Renewable Energy Credits ('RECs') from a Capital Dynamics-owned renewable power project at a fair market price. Further details are provided in the metrics and targets section of this report.",1
"A group of 80 employees, from all Group bu- siness lines and regions (many working di- rectly with major BNP Paribas clients), was created to share best practices Groupwide with the aim of seizing on as many energy transition opportunities as possible together.",0
"Climate-related opportunities are discussed as any other opportunity. Within Van Lanschot Kempen, a new product approval (NPA) process is designed to assess new opportunities. b. Management's role in assessing and managing climate-related risks and opportunities",0
"Ping An owns multiple working premises and properties in China, and the majority of resource consumption comes from the use of electricity, water, and paper in daily operations. Thus, the effective implementation of green office program and promotion of energy conservation and emission reduction at these workplaces and properties are emphasized in Ping An's sustainability transformation. Ping An constantly promotes innovative measures in business operations. It ensures that its operations would not result in direct damage to the environment by means of energy-saving renovations and behavioral change. In addition, it realizes energy and carbon reduction through directly curbing emissions (e.g. Ping An's smart office) and indirect offset. Ping An is committed to adhering to relevant laws and regulations in operations and services, as well as advocating green operation to minimize the direct impacts towards the environment. This includes:",1
"Energy reductions from LEED certification retrofits are expected to be between 18-39%iii since the energy consumption starting point varies for every building. As energy is typically 25% of a residential building's total operating expenses, energy savings from LEED certification are expected to be between 4.5-10% of the total operating expenses.",1
"Investec Limited banking book South Africa is significantly dependent on coal for its energy requirements, which makes it challenging to find a balance between the need for increasing energy access and economic growth in the country, and the urgency to reduce carbon emissions. The mix of our energy portfolio in South Africa reflects the trajectory of the country's energy transition. We see natural gas as part of this transition in the short-to-medium term as the country shifts away from coal and builds up renewable sources.",2
"However, the topic involves other areas of the Company, such as Forestry Operational Development, Environment (Industrial and Forestry), New Business, Research & Development, Planning (Strategic and Forestry), Recovery and Utilities, Investor Relations and Risks, among others.",1
"Limitations and uncertainties This analysis is based on best available information. However, it is unable to overcome some important limitations and uncertainties. For example, climate change simulations currently have minimal ability to model extreme weather events. Similarly, agricultural impact models need to be further developed to test the bounds at which statistical relationships change.",1
"At the Telefonica, S.A. Group, the strategy includes adaptation measures relating to physical and transitional changes. The main measures include the Business Continuity Plan for Climate Disasters and the Energy Efficiency and Renewable Energy Plan.",2
"Strategy and objectives In relation to the risks and opportunities described above, Eni has defined a path to decarbonization and pursues a clear and well-defined climate strategy, integrated with its business model, which is based on the following drivers: - reduction in direct GHG emissions; from 2014 to 2017 the actions taken have enabled the GHG emission intensity index of the upstream sector to be reduced by 15%; the goal is to reduce this rate by 43% by 2025 compared to 2014 through projects to eliminate process flaring, reduce fugitive emissions of methane (for the upstream segment, by 80% in 2025 compared to 2014) and energy efficiency projects; in total the investments in support of these targets add up to an expenditure of about €0.6 billion in 2018-2021, at 100% and with reference only to upstream operated activities;",0
"Strategy. We assessed the risks and opportunities we may face in 2030 under two climate scenarios; a 'Pessimistic' scenario and an 'Optimistic' scenario. The 'Pessimistic' scenario is where the world fails to address climate change, leading to global temperatures continuing to rise well above 2 degrees. This scenario assumes limited policy or regulatory support and looks at physical climate risks. The 'Optimistic' scenario is where the world rises to the challenge of tackling climate change and limits global warming to well below 2 degrees. This low-carbon transition scenario centres on the rapid changes that will be needed by 2030 to cut emissions in line with the Paris Agreement. Our scenarios are based on those developed by the Intergovernmental Panel on Climate Change.",1
"The analysis can be used to identify companies that need to be placed on the watchlist, in which case their climate strategies are carefully observed during the next several non-financial performance assessment campaigns.",2
"In July 2020, BlackRock provided comments to the Department of Labor's proposed rule on 'Financial Factors in Selecting Plan Investments' (the 'DoL Proposal') highlighting our concern that the DoL Proposal could interfere with plan fiduciaries' abilities and willingness to consider financially material Environmental, Social, and Governance factors. BlackRock provided recommendations that aimed at helping the Department of Labor improve the DoL Proposal, while mitigating the potential burdens the DoL Proposal would have placed on plan fiduciaries. We were pleased to see several of our suggestions incorporated into the final rule.",1
"Emissions from flaring are predominantly CO2, as the majority of the methane is combusted during the flaring process. Through targeted planning and implementing learnings from previous field turndowns during major maintenance shutdown operations, as well as the development of field turndown tools utilising artificial intelligence technology, we have been able to substantially reduce flaring at our gas processing facilities by 57 per cent.",0
"The inte- rest rate on the loan is tied to two key perfor- mance indicators: (i) achieving a net positive impact on biodiversity in UPM's Finnish forests; (ii) reducing Carbon dioxide emissions generated from pur- chased fuel and electricity 65% by 2030 (com- pared to 2015 levels), in accordance with UPM's commitment to aligning its business with the 1.5 C climate scenario.",1
"In technology development, we focus on increasing resource efficiency - aiming to reduce energy and water consumption, emissions, effluents and waste. In 2019, 81% of our R&D projects were related to initiatives targeting sustainability improvements. Our efforts to mitigate the environmental impacts of our products and services are presented in Sustainable technologies and innovations.",0
"The British Columbia Carbon Tax Act sets a carbon price of $30 per tonne of CO2e on fuel combustion. Beginning April 1, 2018, the provincial carbon tax is expected to increase by $5 per tonne of CO2e per year, reaching the federal target carbon price of $50 on April 1, 2021. The tax may also be expanded to fugitive and vented emissions from the oil and gas sector. The Government of British Columbia has also introduced measures to reduce upstream",1
"Climate Action Plan: IFC continues to focus on five strategic priority areas of climate business — clean energy, climate-smart agribusiness, green buildings, climate-smart cities, and green finance — as well as account for climate risk in key high-risk sectors. IFC’s climate strategy is part of the World Bank Group’s Climate Action Plan which ran through FY20. The WBG Climate Action Plan is being updated and will cover FY21-25. • FY20 own account investment in climate: $3.3 billion • FY20 mobilization of external private capital: $3.5 billion • Integrate climate in post-COVID rebuild • Target future market growth in nature-based solutions, carbon capture and storage, and electric vehicles",0
"Reflecting our efforts to help expand re/insurance protection by working with public-sector clients, we made a commitment to the United Nations to advise up to 50 sovereigns and sub-sovereigns on climate risk resilience and to offer them USD 10 billion of insurance cover against this risk by 2020. You can see the progress we have made against this goal in the middle table on page 165. We also made a commitment to the Insurance Development Forum (IDF), in line with the InsuResilience Vision 2025 goals. This includes delivering climate and other natural hazards risk modelling, developing risk transfer solutions as well as offering capacity for climate risk insurance to increase insurance protection for selected climate-exposed countries.",1
"The Trustees believe that while these factors are sources of risks to be mitigated where possible, they may also create opportunities. The Trustees have therefore allocated a portion of the DB Fund's assets (a 2.5% commitment) to specifically targeting opportunities created by ESG risk factors including climate change. Examples of these opportunities include companies involved in the generation of renewable energy, and the manufacture of zero-emission electric commuter buses.",0
"Despite the growth of the EBRD's overall development commitments and the increasing prominence of climaterelated activities in new business, this early assessment indicates that the overall quantum of the Bank's exposure to carbon transition risks has decreased since 2015.",1
"CLIMATE SOLUTIONS change. “When we think about livelihoods at risk from climate change impacts, we know that people living in developing countries, and especially the least-developed countries and small island states, are often most vulnerable and yet have the fewest financial resources to adapt,” says chief climate change expert Nancy Saich.",1
"Building on our history of energy efficiency improvements, we substantially increased our commitment to renewable energy in 2020, committing to 100% renewable electricity for US operations which accounts for over half of our global electrical load.",1
